<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	1429
and	686
of	630
to	438
in	361
a	221
is	203
that	184
's	152
on	130
china	127
for	127
has	103
will	94
with	93
have	92
this	87
are	84
development	82
we	76
by	74
be	73
taiwan	71
it	71
people	69
not	69
as	68
at	66
its	65
economic	64
he	64
us	62
chinese	60
said	55
also	53
countries	52
was	52
two	51
an	50
new	49
our	49
from	48
all	48
should	45
united	45
relations	45
must	45
states	44
party	44
between	41
out	36
government	35
other	34
military	34
one	33
national	33
their	33
cooperation	33
up	33
there	31
which	31
work	31
his	30
more	30
years	30
world	29
they	29
situation	28
were	28
security	28
but	28
been	28
political	27
no	27
only	26
can	26
system	26
visit	26
or	25
these	25
'	25
some	25
about	25
foreign	25
human	24
state	24
time	24
policy	24
president	24
economy	23
rights	22
international	22
first	22
year	21
made	20
pointed	20
important	20
after	20
further	20
russia	20
peace	19
if	19
such	19
support	19
while	19
so	19
war	18
principle	18
still	18
into	18
when	18
jiang	18
defense	18
during	18
country	18
three	17
over	17
forces	17
meeting	17
century	17
very	16
under	16
them	16
issue	16
japan	16
last	16
beijing	16
social	16
many	16
had	16
enterprises	16
use	15
reunification	15
always	15
make	15
falungong	15
great	15
zemin	15
developing	15
good	15
since	15
authorities	15
th	15
however	14
sides	14
become	14
what	14
building	14
region	14
against	14
leaders	14
stability	14
central	14
plan	14
strengthen	14
bush	14
tibet	13
concerned	13
market	13
growth	13
various	13
committee	13
members	13
today	13
leading	13
change	13
western	13
control	12
major	12
overall	12
conditions	12
than	12
who	12
minister	12
reform	12
air	12
would	12
scientific	12
financial	12
struggle	12
long	12
means	11
being	11
held	11
put	11
nmd	11
current	11
independence	11
present	11
systems	11
hong	11
kong	11
way	11
trade	11
affairs	11
power	11
most	11
interests	11
expressed	11
friendly	11
departments	11
missile	11
zhu	11
ideological	11
positive	11
education	11
crossstrait	11
investment	11
measures	11
side	11
past	11
onechina	10
now	10
percent	10
because	10
deputy	10
basis	10
incident	10
same	10
toward	10
socialist	10
progress	10
themselves	10
develop	10
japanese	10
act	10
order	10
