<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	883
是	202
和	175
在	171
了	150
中国	137
一	119
发展	101
对	99
不	93
这	81
与	81
经济	79
国	72
个	71
中	71
要	70
两	67
美国	66
有	61
也	56
关系	55
他	54
年	53
将	53
台湾	51
说	51
国家	49
新	49
就	49
我们	47
为	46
上	44
问题	43
人民	43
地	38
政府	37
工作	37
大	36
合作	35
都	34
但	31
次	31
会	31
各	31
世界	29
进行	29
加强	29
和平	28
还	28
人	27
表示	27
社会	27
必须	27
种	26
到	26
以	26
党	25
全	25
而	25
国际	24
思想	24
政治	23
指出	23
美	23
日本	23
能	23
原则	22
并	22
安全	22
等	22
建设	22
访问	22
来	22
政策	22
企业	22
统一	21
下	21
已	21
军事	21
地区	21
重要	20
方面	19
计划	19
向	19
人权	19
基础	19
后	19
多	19
积极	19
稳定	19
把	19
此	19
有关	18
双方	18
没有	18
社会主义	18
友好	18
领导	18
总统	18
世纪	18
代表	17
时	17
法轮功	17
共同	17
进一步	17
组织	17
一些	17
及	17
从	17
支持	16
三	16
要求	16
江泽民	16
这些	16
北京	16
岸	16
取得	15
月	15
同	15
事件	15
发生	15
开发	15
俄	15
导弹	15
领导人	15
西藏	14
战争	14
利益	14
很	14
继续	14
所	14
会议	14
日	14
其	14
市场	14
同时	14
我国	14
今天	14
改革	14
推动	14
好	14
如果	14
已经	14
记者	14
更	14
提出	14
得	14
认为	14
坚持	13
部门	13
最	13
着	13
形势	13
作为	13
高	13
去年	13
应	13
西部	13
扩大	13
历史	13
他们	13
教育	13
实现	13
情况	13
强调	12
反对	12
使	12
于	12
外交	12
技术	12
增长	12
解决	12
系统	12
主席	12
制度	12
努力	12
当局	12
作出	11
武器	11
主要	11
举行	11
人员	11
十分	11
现在	11
根本	11
干部	11
祖国	11
又	11
十五	11
可以	11
希望	11
我	11
布什	11
本	10
nmd	10
目前	10
重大	10
变化	10
领域	10
任务	10
需要	10
文化	10
由	10
以来	10
活动	10
其他	10
俄罗斯	10
利用	10
看	10
影响	10
不断	10
斗争	10
调整	10
再	10
项	10
